CustomerID,CustomerName,CustomerSegment,SignupDate,Country
125,Customer 125,Retail,2019-03-07,Sweden
126,Customer 126,Retail,2021-01-03,Spain
127,Customer 127,Online,2024-08-01,France
128,Customer 128,Online,2023-11-11,France
129,Customer 129,Retail,2023-01-16,Sweden
130,Customer 130,Wholesale,2015-11-06,Sweden
131,Customer 131,Retail,2022-01-09,USA
132,Customer 132,Retail,2020-08-23,Sweden
133,Customer 133,Retail,2015-05-12,France
134,Customer 134,Retail,2020-02-21,Italy
135,Customer 135,Online,2022-09-03,USA
136,Customer 136,Retail,2021-10-22,USA
137,Customer 137,Wholesale,2022-08-22,France
138,Customer 138,Online,2017-01-09,Germany
139,Customer 139,Retail,2017-03-05,UK
140,Customer 140,Partner,2021-04-29,Sweden
141,Customer 141,Partner,2022-05-14,Italy
142,Customer 142,Retail,2024-01-10,Germany
143,Customer 143,Retail,2015-09-15,France
144,Customer 144,Retail,2018-06-11,Sweden
145,Customer 145,Retail,2024-04-30,France
146,Customer 146,Retail,2021-09-22,Sweden
147,Customer 147,Wholesale,2020-01-26,Sweden
148,Customer 148,Wholesale,2017-09-01,Germany
149,Customer 149,Retail,2017-11-13,France
150,Customer 150,Retail,2015-09-28,Italy
151,Customer 151,Online,2018-01-23,Netherlands
152,Customer 152,Retail,2015-05-22,Sweden
153,Customer 153,Retail,2017-06-20,USA
154,Customer 154,Retail,2023-04-10,Spain
155,Customer 155,Partner,2023-08-19,France
156,Customer 156,Retail,2015-10-01,France
157,Customer 157,Wholesale,2021-05-12,Germany
158,Customer 158,Online,2016-04-09,Sweden
159,Customer 159,Retail,2018-05-16,USA
160,Customer 160,Online,2018-08-12,Germany
161,Customer 161,Retail,2023-07-08,Netherlands
162,Customer 162,Wholesale,2015-10-15,Sweden
163,Customer 163,Wholesale,2023-10-01,Italy
164,Customer 164,Wholesale,2017-05-25,Germany
165,Customer 165,Retail,2020-06-15,France
166,Customer 166,Online,2024-03-08,Sweden
167,Customer 167,Retail,2023-01-04,USA
168,Customer 168,Retail,2021-02-05,Italy
169,Customer 169,Retail,2018-01-25,France
170,Customer 170,Wholesale,2018-04-29,Italy
171,Customer 171,Wholesale,2023-08-12,France
172,Customer 172,Retail,2016-03-22,France
173,Customer 173,Wholesale,2022-10-03,France
174,Customer 174,Retail,2024-10-08,Sweden
175,Customer 175,Wholesale,2022-02-21,Spain
176,Customer 176,Retail,2021-12-06,UK
177,Customer 177,Wholesale,2022-12-06,USA
178,Customer 178,Retail,2016-12-22,Netherlands
179,Customer 179,Online,2020-12-03,Spain
180,Customer 180,Retail,2022-01-26,UK
181,Customer 181,Retail,2023-09-05,Italy
182,Customer 182,Retail,2018-09-13,UK
183,Customer 183,Online,2016-02-11,Sweden
184,Customer 184,Online,2024-04-07,Sweden
185,Customer 185,Retail,2019-09-22,Sweden
186,Customer 186,Wholesale,2016-11-24,UK
187,Customer 187,Online,2023-10-25,Spain
188,Customer 188,Wholesale,2024-05-06,USA
189,Customer 189,Wholesale,2016-05-09,Germany
190,Customer 190,Retail,2017-08-05,UK
191,Customer 191,Retail,2015-01-23,Sweden
192,Customer 192,Online,2018-02-02,Germany
193,Customer 193,Online,2019-08-26,Germany
194,Customer 194,Wholesale,2016-07-11,France
195,Customer 195,Retail,2019-06-05,Germany
196,Customer 196,Retail,2017-07-29,Italy
197,Customer 197,Online,2018-05-30,Italy
198,Customer 198,Online,2022-12-12,France
199,Customer 199,Online,2023-06-14,USA
200,Customer 200,Online,2023-01-17,Netherlands
201,Customer 201,Wholesale,2019-07-15,USA
202,Customer 202,Retail,2015-03-19,Italy
203,Customer 203,Retail,2018-09-07,Netherlands
204,Customer 204,Online,2017-03-17,France
205,Customer 205,Wholesale,2024-01-26,USA
206,Customer 206,Retail,2017-11-07,Netherlands
207,Customer 207,Retail,2017-02-06,Netherlands
208,Customer 208,Wholesale,2016-03-29,UK
209,Customer 209,Retail,2024-08-15,USA
210,Customer 210,Retail,2023-02-23,France
211,Customer 211,Wholesale,2021-05-13,Netherlands
212,Customer 212,Wholesale,2018-12-18,Italy
213,Customer 213,Wholesale,2019-02-08,Sweden
214,Customer 214,Retail,2017-11-16,UK
215,Customer 215,Online,2022-01-05,Germany
216,Customer 216,Retail,2020-03-03,Germany
217,Customer 217,Retail,2021-11-16,Germany
218,Customer 218,Online,2022-10-25,Italy
219,Customer 219,Wholesale,2022-11-11,Sweden
220,Customer 220,Online,2015-12-29,Netherlands
221,Customer 221,Wholesale,2024-06-16,France
222,Customer 222,Wholesale,2022-08-30,Germany
223,Customer 223,Retail,2016-06-08,USA
224,Customer 224,Retail,2024-06-15,Germany
225,Customer 225,Retail,2023-11-30,Netherlands
226,Customer 226,Retail,2018-05-02,Spain
227,Customer 227,Partner,2019-01-25,Italy
228,Customer 228,Retail,2020-10-04,Spain
229,Customer 229,Online,2018-06-07,Germany
230,Customer 230,Wholesale,2021-12-11,Sweden
231,Customer 231,Online,2023-06-27,Netherlands
232,Customer 232,Wholesale,2020-01-30,Germany
233,Customer 233,Wholesale,2016-12-22,Spain
234,Customer 234,Retail,2020-06-06,Netherlands
235,Customer 235,Retail,2018-04-22,Italy
236,Customer 236,Online,2018-12-19,Italy
237,Customer 237,Retail,2018-10-30,Germany
238,Customer 238,Retail,2020-09-19,Italy
239,Customer 239,Wholesale,2019-02-16,UK
240,Customer 240,Retail,2017-09-30,Netherlands
241,Customer 241,Online,2021-04-26,Sweden
242,Customer 242,Partner,2021-10-24,Netherlands
243,Customer 243,Online,2017-07-14,Italy
244,Customer 244,Retail,2017-05-05,Netherlands
245,Customer 245,Retail,2015-03-25,Spain
246,Customer 246,Online,2020-09-24,France
247,Customer 247,Retail,2021-10-23,Spain
248,Customer 248,Partner,2019-03-23,USA
249,Customer 249,Partner,2017-09-12,UK
250,Customer 250,Online,2020-02-12,France
251,Customer 251,Retail,2024-08-10,Germany
252,Customer 252,Retail,2015-05-16,Netherlands
253,Customer 253,Online,2018-04-21,Sweden
254,Customer 254,Retail,2019-09-29,USA
255,Customer 255,Retail,2018-04-10,USA
256,Customer 256,Wholesale,2017-06-27,Sweden
257,Customer 257,Online,2022-12-18,UK
258,Customer 258,Wholesale,2022-10-06,France
259,Customer 259,Wholesale,2016-08-12,USA
260,Customer 260,Retail,2020-05-05,Sweden
261,Customer 261,Wholesale,2017-08-13,France
262,Customer 262,Partner,2022-06-30,France
263,Customer 263,Retail,2022-01-30,Italy
264,Customer 264,Wholesale,2018-02-17,USA
265,Customer 265,Online,2024-03-06,France
266,Customer 266,Online,2018-08-24,UK
267,Customer 267,Wholesale,2022-07-18,USA
268,Customer 268,Online,2024-03-02,UK
269,Customer 269,Retail,2019-04-03,UK
270,Customer 270,Retail,2021-05-31,France
271,Customer 271,Online,2019-12-12,France
272,Customer 272,Online,2020-10-01,Italy
273,Customer 273,Online,2017-03-16,Sweden
274,Customer 274,Online,2018-12-26,Netherlands
275,Customer 275,Wholesale,2015-02-21,Italy
276,Customer 276,Wholesale,2022-08-07,USA
277,Customer 277,Online,2015-03-13,Italy
278,Customer 278,Wholesale,2015-01-28,Germany
279,Customer 279,Online,2016-04-13,Sweden
280,Customer 280,Online,2017-02-02,USA
281,Customer 281,Online,2023-01-12,Sweden
282,Customer 282,Retail,2023-02-07,UK
283,Customer 283,Retail,2022-02-07,Italy
284,Customer 284,Retail,2018-11-25,Italy
285,Customer 285,Wholesale,2021-02-26,Netherlands
286,Customer 286,Retail,2017-03-30,Italy
287,Customer 287,Retail,2019-01-29,France
288,Customer 288,Wholesale,2019-08-03,UK
289,Customer 289,Retail,2016-07-13,Italy
290,Customer 290,Wholesale,2016-01-14,Spain
291,Customer 291,Retail,2020-04-02,Spain
292,Customer 292,Retail,2023-11-23,Sweden
293,Customer 293,Online,2017-12-11,UK
294,Customer 294,Retail,2015-03-20,Italy
295,Customer 295,Retail,2018-11-09,Netherlands
296,Customer 296,Wholesale,2017-04-13,Germany
297,Customer 297,Online,2024-12-26,Netherlands
298,Customer 298,Retail,2017-10-28,Germany
299,Customer 299,Wholesale,2023-12-30,USA
300,Customer 300,Retail,2020-09-03,USA
301,Customer 301,Retail,2016-03-25,Netherlands
302,Customer 302,Wholesale,2022-09-16,Italy
303,Customer 303,Wholesale,2022-09-03,Sweden
304,Customer 304,Wholesale,2020-06-15,Netherlands
305,Customer 305,Online,2024-08-29,USA
306,Customer 306,Partner,2019-01-24,France
307,Customer 307,Wholesale,2021-02-23,Germany
308,Customer 308,Retail,2023-09-01,UK
309,Customer 309,Online,2019-10-09,Sweden
310,Customer 310,Retail,2020-05-24,Netherlands
311,Customer 311,Retail,2021-10-20,Italy
312,Customer 312,Retail,2019-03-31,Italy
313,Customer 313,Retail,2016-11-20,Sweden
314,Customer 314,Partner,2020-06-13,Spain
315,Customer 315,Online,2018-11-02,Germany
316,Customer 316,Wholesale,2016-08-09,Sweden
317,Customer 317,Retail,2020-11-21,Sweden
318,Customer 318,Retail,2020-01-04,Germany
319,Customer 319,Retail,2020-06-08,Germany
320,Customer 320,Retail,2016-09-18,Netherlands
321,Customer 321,Wholesale,2020-07-24,USA
322,Customer 322,Online,2023-07-08,France
323,Customer 323,Wholesale,2021-11-10,Netherlands
324,Customer 324,Retail,2015-12-30,Sweden
325,Customer 325,Partner,2020-12-22,UK
326,Customer 326,Online,2016-01-09,USA
327,Customer 327,Wholesale,2024-01-17,Netherlands
328,Customer 328,Wholesale,2020-09-17,France
329,Customer 329,Retail,2020-06-10,Sweden
330,Customer 330,Retail,2022-11-06,Sweden
331,Customer 331,Retail,2020-09-25,Germany
332,Customer 332,Online,2020-09-14,France
333,Customer 333,Retail,2020-11-12,USA
334,Customer 334,Retail,2023-04-21,Netherlands
335,Customer 335,Retail,2018-10-16,Sweden
336,Customer 336,Retail,2019-03-29,Germany
337,Customer 337,Online,2018-03-15,Netherlands
338,Customer 338,Online,2020-04-24,USA
339,Customer 339,Retail,2016-01-03,UK
340,Customer 340,Retail,2015-03-06,Germany
341,Customer 341,Retail,2024-01-13,France
342,Customer 342,Retail,2017-01-23,USA
343,Customer 343,Retail,2019-03-24,Sweden
344,Customer 344,Retail,2020-07-28,Spain
345,Customer 345,Retail,2022-11-03,France
346,Customer 346,Wholesale,2020-02-20,Sweden
347,Customer 347,Wholesale,2019-04-28,France
348,Customer 348,Retail,2017-01-25,Germany
349,Customer 349,Retail,2021-02-06,Netherlands
350,Customer 350,Wholesale,2019-03-05,Italy
351,Customer 351,Wholesale,2016-08-19,France
352,Customer 352,Online,2023-11-01,USA
353,Customer 353,Wholesale,2022-10-05,Spain
354,Customer 354,Retail,2024-11-15,UK
355,Customer 355,Retail,2022-04-28,Spain
356,Customer 356,Wholesale,2024-08-07,USA
357,Customer 357,Retail,2020-01-09,Germany
358,Customer 358,Wholesale,2023-09-06,USA
359,Customer 359,Online,2022-04-17,Italy
360,Customer 360,Wholesale,2018-10-27,Italy
361,Customer 361,Retail,2019-05-06,Italy
362,Customer 362,Wholesale,2024-05-26,France
363,Customer 363,Retail,2015-04-22,Germany
364,Customer 364,Wholesale,2016-03-28,Netherlands
365,Customer 365,Online,2022-09-04,Italy
366,Customer 366,Retail,2023-11-15,Netherlands
367,Customer 367,Partner,2022-03-16,UK
368,Customer 368,Online,2020-12-26,UK
369,Customer 369,Retail,2020-02-15,Netherlands
370,Customer 370,Retail,2021-03-28,Sweden
371,Customer 371,Retail,2018-06-16,USA
372,Customer 372,Retail,2023-04-20,Italy
373,Customer 373,Retail,2015-09-10,France
374,Customer 374,Wholesale,2020-06-27,Sweden
375,Customer 375,Retail,2018-12-30,UK
376,Customer 376,Retail,2020-04-26,Spain
377,Customer 377,Online,2022-02-21,Germany
378,Customer 378,Retail,2024-07-25,Spain
379,Customer 379,Online,2018-08-19,Netherlands
380,Customer 380,Retail,2020-10-20,Sweden
381,Customer 381,Retail,2024-02-17,UK
382,Customer 382,Wholesale,2020-02-01,UK
383,Customer 383,Wholesale,2021-03-19,USA
384,Customer 384,Online,2018-01-05,USA
385,Customer 385,Online,2015-03-03,Italy
386,Customer 386,Online,2019-02-03,Netherlands
387,Customer 387,Retail,2018-03-26,Germany
388,Customer 388,Retail,2017-03-16,Italy
389,Customer 389,Online,2020-12-12,Sweden
390,Customer 390,Online,2022-08-20,USA
391,Customer 391,Partner,2020-02-19,France
392,Customer 392,Retail,2021-01-17,Germany
393,Customer 393,Retail,2016-06-24,France
394,Customer 394,Online,2016-09-17,Sweden
395,Customer 395,Retail,2019-06-03,Italy
396,Customer 396,Online,2024-11-15,USA
397,Customer 397,Online,2015-04-16,Germany
398,Customer 398,Retail,2018-02-28,Sweden
399,Customer 399,Online,2024-05-21,Italy
400,Customer 400,Online,2019-09-05,UK
401,Customer 401,Retail,2022-09-24,Italy
402,Customer 402,Online,2020-03-23,Netherlands
403,Customer 403,Wholesale,2020-08-11,Spain
404,Customer 404,Online,2021-03-30,UK
405,Customer 405,Retail,2016-01-04,France
406,Customer 406,Online,2018-06-28,UK
407,Customer 407,Retail,2017-08-03,Italy
408,Customer 408,Retail,2023-09-15,Sweden
409,Customer 409,Online,2024-03-01,UK
410,Customer 410,Retail,2021-02-05,Spain
411,Customer 411,Retail,2015-10-20,Netherlands
412,Customer 412,Partner,2016-08-06,Italy
413,Customer 413,Partner,2022-10-13,Spain
414,Customer 414,Wholesale,2021-01-31,UK
415,Customer 415,Wholesale,2020-12-10,Spain
416,Customer 416,Retail,2021-03-24,UK
417,Customer 417,Retail,2021-10-27,Germany
418,Customer 418,Retail,2021-10-11,UK
419,Customer 419,Wholesale,2023-08-21,USA
420,Customer 420,Online,2017-02-03,Spain
421,Customer 421,Online,2022-05-03,Sweden
422,Customer 422,Online,2020-10-13,Netherlands
423,Customer 423,Retail,2018-07-28,Spain
424,Customer 424,Retail,2018-11-15,France
425,Customer 425,Retail,2016-03-03,Netherlands
426,Customer 426,Wholesale,2022-04-19,Netherlands
427,Customer 427,Retail,2023-02-20,France
428,Customer 428,Online,2020-07-07,USA
429,Customer 429,Retail,2022-10-30,Spain
430,Customer 430,Retail,2015-04-17,Netherlands
431,Customer 431,Retail,2024-11-28,Spain
432,Customer 432,Online,2016-10-20,Netherlands
433,Customer 433,Wholesale,2024-02-16,France
434,Customer 434,Retail,2018-03-28,France
435,Customer 435,Retail,2021-05-01,UK
436,Customer 436,Online,2024-09-09,Italy
437,Customer 437,Retail,2018-05-10,Spain
438,Customer 438,Online,2015-06-04,Spain
439,Customer 439,Online,2023-06-12,Netherlands
440,Customer 440,Retail,2024-03-22,UK
441,Customer 441,Retail,2017-06-14,Sweden
442,Customer 442,Partner,2019-03-02,Spain
443,Customer 443,Retail,2019-06-09,Netherlands
444,Customer 444,Retail,2017-09-19,USA
445,Customer 445,Online,2021-04-11,France
446,Customer 446,Online,2018-08-16,France
447,Customer 447,Partner,2018-10-17,Italy
448,Customer 448,Online,2024-05-18,France
449,Customer 449,Retail,2024-11-01,Germany
450,Customer 450,Retail,2021-08-30,USA
451,Customer 451,Online,2022-09-07,USA
452,Customer 452,Wholesale,2024-04-06,UK
453,Customer 453,Retail,2021-09-27,Germany
454,Customer 454,Online,2018-07-25,Spain
455,Customer 455,Retail,2022-07-25,Italy
456,Customer 456,Retail,2017-01-28,USA
457,Customer 457,Retail,2017-01-16,Germany
458,Customer 458,Retail,2016-08-15,Germany
459,Customer 459,Retail,2024-05-20,Netherlands
460,Customer 460,Retail,2019-03-29,USA
461,Customer 461,Retail,2022-11-26,Sweden
462,Customer 462,Wholesale,2015-01-16,Netherlands
463,Customer 463,Online,2017-09-19,UK
464,Customer 464,Wholesale,2017-12-04,Germany
465,Customer 465,Partner,2018-09-06,France
466,Customer 466,Retail,2022-05-22,Germany
467,Customer 467,Retail,2024-04-20,Spain
468,Customer 468,Online,2021-01-04,USA
469,Customer 469,Retail,2021-07-30,Sweden
470,Customer 470,Partner,2024-01-21,Spain
471,Customer 471,Retail,2016-12-03,UK
472,Customer 472,Partner,2016-09-04,Italy
473,Customer 473,Retail,2015-04-15,France
474,Customer 474,Online,2019-02-06,USA
475,Customer 475,Wholesale,2016-01-31,Germany
476,Customer 476,Partner,2024-08-18,France
477,Customer 477,Retail,2022-04-07,Germany
478,Customer 478,Wholesale,2024-01-05,UK
479,Customer 479,Partner,2020-07-03,Italy
480,Customer 480,Wholesale,2017-04-30,Sweden
481,Customer 481,Wholesale,2020-06-11,Sweden
482,Customer 482,Wholesale,2016-03-17,USA
483,Customer 483,Retail,2019-07-27,UK
484,Customer 484,Wholesale,2017-05-22,UK
485,Customer 485,Wholesale,2016-10-28,Italy
486,Customer 486,Online,2017-11-17,UK
487,Customer 487,Retail,2022-10-12,UK
488,Customer 488,Retail,2021-11-27,Germany
489,Customer 489,Partner,2016-09-19,Netherlands
490,Customer 490,Online,2024-03-30,Spain
491,Customer 491,Retail,2018-11-29,Germany
492,Customer 492,Wholesale,2024-10-24,Sweden
493,Customer 493,Retail,2021-12-24,Italy
494,Customer 494,Retail,2015-12-14,France
495,Customer 495,Retail,2018-06-17,Italy
496,Customer 496,Retail,2017-10-14,Italy
497,Customer 497,Wholesale,2016-07-23,Italy
498,Customer 498,Retail,2022-07-05,Italy
499,Customer 499,Partner,2024-05-01,UK
500,Customer 500,Partner,2020-09-04,Italy
501,Customer 501,Wholesale,2024-07-12,France
502,Customer 502,Wholesale,2023-08-15,Italy
503,Customer 503,Retail,2020-05-06,Germany
504,Customer 504,Online,2021-03-14,UK
505,Customer 505,Wholesale,2018-09-13,Sweden
506,Customer 506,Retail,2022-11-24,Germany
507,Customer 507,Online,2022-09-22,Sweden
508,Customer 508,Online,2023-06-22,UK
509,Customer 509,Online,2016-10-31,Germany
510,Customer 510,Online,2016-12-18,Sweden
511,Customer 511,Wholesale,2021-06-15,USA
512,Customer 512,Retail,2022-03-31,Spain
513,Customer 513,Online,2015-09-24,Spain
514,Customer 514,Online,2018-12-09,UK
515,Customer 515,Retail,2022-05-17,USA
516,Customer 516,Retail,2024-02-21,France
517,Customer 517,Retail,2018-09-18,USA
518,Customer 518,Online,2017-10-19,Netherlands
519,Customer 519,Partner,2020-07-30,UK
520,Customer 520,Retail,2021-11-02,USA
521,Customer 521,Wholesale,2016-07-18,France
522,Customer 522,Retail,2018-06-24,UK
523,Customer 523,Partner,2017-11-25,Spain
524,Customer 524,Online,2018-11-25,Italy
525,Customer 525,Online,2015-01-28,USA
526,Customer 526,Retail,2015-08-08,Spain
527,Customer 527,Retail,2016-02-10,Spain
528,Customer 528,Retail,2019-06-26,Germany
529,Customer 529,Retail,2019-12-04,France
530,Customer 530,Online,2021-05-07,Netherlands
531,Customer 531,Online,2019-10-26,Italy
532,Customer 532,Partner,2019-08-02,USA
533,Customer 533,Partner,2017-03-02,Spain
534,Customer 534,Wholesale,2024-10-22,Spain
535,Customer 535,Online,2017-08-20,Netherlands
536,Customer 536,Online,2018-08-02,France
537,Customer 537,Online,2024-08-26,Italy
538,Customer 538,Retail,2017-04-13,Sweden
539,Customer 539,Retail,2015-11-13,Italy
540,Customer 540,Retail,2018-08-13,Netherlands
541,Customer 541,Partner,2021-07-13,Spain
542,Customer 542,Wholesale,2018-08-23,Spain
543,Customer 543,Retail,2024-07-31,Spain
544,Customer 544,Wholesale,2015-12-17,Spain
545,Customer 545,Wholesale,2016-05-25,Sweden
546,Customer 546,Retail,2022-01-16,Germany
547,Customer 547,Retail,2016-05-06,Germany
548,Customer 548,Wholesale,2020-04-15,Netherlands
549,Customer 549,Wholesale,2019-06-06,Italy
550,Customer 550,Online,2020-08-18,UK
551,Customer 551,Wholesale,2019-03-01,Sweden
552,Customer 552,Online,2019-05-03,Sweden
553,Customer 553,Wholesale,2022-02-21,USA
554,Customer 554,Wholesale,2021-10-23,France
555,Customer 555,Online,2019-04-25,UK
556,Customer 556,Retail,2022-10-10,Germany
557,Customer 557,Retail,2019-10-28,Germany
558,Customer 558,Retail,2020-06-14,Germany
559,Customer 559,Online,2023-09-15,UK
560,Customer 560,Wholesale,2018-06-22,Sweden
561,Customer 561,Online,2024-02-09,Germany
562,Customer 562,Retail,2020-09-11,UK
563,Customer 563,Retail,2017-11-12,Germany
564,Customer 564,Retail,2022-12-02,Spain
565,Customer 565,Retail,2022-02-26,Sweden
566,Customer 566,Wholesale,2015-02-18,Spain
567,Customer 567,Retail,2016-04-06,USA
568,Customer 568,Retail,2022-03-22,Sweden
569,Customer 569,Online,2015-12-02,Germany
570,Customer 570,Retail,2018-10-13,Netherlands
571,Customer 571,Wholesale,2018-02-19,USA
572,Customer 572,Online,2024-08-16,UK
573,Customer 573,Retail,2015-12-25,USA
574,Customer 574,Wholesale,2021-07-21,Germany
575,Customer 575,Online,2015-07-12,UK
576,Customer 576,Online,2018-12-10,Netherlands
577,Customer 577,Retail,2018-11-01,UK
578,Customer 578,Online,2024-09-04,Spain
579,Customer 579,Retail,2017-01-25,UK
580,Customer 580,Retail,2019-08-12,UK
581,Customer 581,Retail,2023-10-23,USA
582,Customer 582,Partner,2021-11-30,Netherlands
583,Customer 583,Retail,2017-04-07,Italy
584,Customer 584,Retail,2017-06-08,UK
585,Customer 585,Wholesale,2016-10-14,France
586,Customer 586,Retail,2021-09-21,Italy
587,Customer 587,Retail,2021-05-22,Spain
588,Customer 588,Retail,2020-04-05,Netherlands
589,Customer 589,Retail,2017-04-30,Netherlands
590,Customer 590,Retail,2015-04-21,Sweden
591,Customer 591,Retail,2016-09-11,Spain
592,Customer 592,Wholesale,2017-03-03,UK
593,Customer 593,Retail,2020-09-28,USA
594,Customer 594,Retail,2023-06-13,Italy
595,Customer 595,Online,2018-03-03,Sweden
596,Customer 596,Retail,2016-08-10,Spain
597,Customer 597,Wholesale,2022-03-28,Spain
598,Customer 598,Retail,2024-05-07,France
599,Customer 599,Retail,2022-06-10,UK
600,Customer 600,Retail,2018-08-02,Sweden
601,Customer 601,Retail,2020-05-11,Italy
602,Customer 602,Retail,2021-06-19,Spain
603,Customer 603,Retail,2022-04-07,Netherlands
604,Customer 604,Retail,2015-10-24,Spain
605,Customer 605,Retail,2019-06-18,Spain
